Time Flux
1472.117779 258645.031250
1472.138212 258660.046875
1472.158645 258690.078125
1472.179078 258683.328125
1472.199511 258655.406250
1472.219943 258663.156250
1472.240376 258686.718750
1472.260809 258663.281250
1472.281242 258677.468750
1472.322107 258673.187500
1472.342540 258641.953125
1472.362973 258718.437500
1472.383406 258678.250000
1472.403839 258717.687500
1472.424271 258704.812500
1472.444704 258685.265625
1472.465137 258742.390625
1472.485570 258720.656250
1472.506002 258704.328125
1472.526435 258734.718750
1472.546868 258799.468750
1472.567301 258787.421875
1472.587734 258755.109375
1472.608167 258756.890625
1472.628599 258799.859375
1472.649032 258779.843750
1472.669465 258728.734375
1472.689898 258751.890625
1472.710331 258765.062500
1472.730763 258810.656250
1472.751196 258772.765625
1472.771629 258748.750000
1472.792062 258792.968750
1472.832927 258744.140625
1472.873793 258777.234375
1472.894226 258749.375000
1472.914659 258738.750000
1472.935091 258729.875000
1472.975957 258748.734375
1472.996390 258708.453125
1473.016823 258718.656250
1473.037255 258686.406250
1473.057688 258796.234375
1473.078121 258761.796875
1473.098554 258745.796875
1473.118987 258736.296875
1473.139419 258753.265625
1473.159852 258746.125000
1473.180285 258691.484375
1473.200718 258742.984375
1473.221151 258739.093750
1473.241583 258733.296875
1473.262016 258740.750000
1473.282449 258758.593750
1473.302882 258743.140625
1473.323315 258796.062500
1473.343747 258815.828125
1473.364180 258758.187500
1473.384613 258749.078125
1473.405046 258815.859375
1473.425479 258814.312500
1473.445911 258811.265625
1473.466344 258809.125000
1473.486777 258790.140625
1473.507210 258846.531250
1473.527643 258799.046875
1473.568508 258809.875000
1473.588941 258811.343750
1473.650240 258833.890625
1473.670672 258795.984375
1473.691105 258802.921875
1473.711538 258778.375000
1473.731971 258814.421875
1473.752404 258851.000000
1473.772836 258802.015625
1473.793269 258857.312500
1473.854568 258737.468750
1473.875000 258790.953125
1473.895433 258777.343750
1473.915866 258805.484375
1473.936299 258800.453125
1473.977164 258779.031250
1473.997597 258761.312500
1474.018030 258792.796875
1474.038463 258757.312500
1474.058896 258746.250000
1474.079329 258739.687500
1474.099761 258777.125000
1474.120194 258758.718750
1474.140627 258762.640625
1474.161060 258805.734375
1474.181493 258846.640625
1474.201925 258814.593750
1474.222358 258863.328125
1474.242791 258793.203125
1474.263224 258787.515625
1474.283657 258835.546875
1474.304090 258843.671875
1474.324522 258812.265625
1474.344955 258858.109375
1474.365388 258780.671875
1474.385821 258812.078125
1474.426686 258807.640625
1474.447119 258827.140625
1474.467552 258814.562500
1474.487985 258804.343750
1474.508418 258815.218750
1474.528851 258834.640625
1474.549283 258795.890625
1474.569716 258815.156250
1474.590149 258823.500000
1474.610582 258778.609375
1474.631015 258814.500000
1474.651447 258778.531250
1474.671880 258742.953125
1474.692313 258735.859375
1474.712746 258749.796875
1474.733179 258724.171875
1474.753611 258788.515625
1474.774044 258774.890625
1474.794477 258772.109375
1474.814910 258769.687500
1474.835343 258800.562500
1474.855776 258764.671875
1474.876208 258743.953125
1474.896641 258769.125000
1474.917074 258769.171875
1474.937507 258753.515625
1474.957940 258689.984375
1474.978373 258719.687500
1474.998805 258719.937500
1475.019238 258742.390625
1475.039671 258725.406250
1475.060104 258717.453125
1475.080537 258747.453125
1475.100969 258750.421875
1475.121402 258785.796875
1475.141835 258743.953125
1475.162268 258724.437500
1475.182701 258728.984375
1475.203134 258736.562500
1475.223566 258687.906250
1475.243999 258610.875000
1475.264432 258657.031250
1475.284865 258635.453125
1475.305298 258613.203125
1475.366596 258682.921875
1475.387029 258672.828125
1475.407462 258652.203125
1475.427895 258656.843750
1475.448328 258710.390625
1475.468760 258737.500000
1475.489193 258786.093750
1475.509626 258759.500000
1475.530059 258732.781250
1475.550492 258715.500000
1475.570925 258750.718750
1475.591357 258761.156250
1475.632223 258741.187500
1475.652656 258794.984375
1475.673089 258789.000000
1475.693521 258857.031250
1475.713954 258839.359375
1475.734387 258885.375000
1475.754820 258799.796875
1475.775253 258878.953125
1475.795686 258875.640625
1475.816118 258897.906250
1475.836551 258884.968750
1475.856984 258904.609375
1475.877417 258893.062500
1475.897850 258915.015625
1475.918283 258913.671875
1475.959148 258936.515625
1475.979581 258994.734375
1476.000014 258966.578125
1476.020447 258958.593750
1476.040880 258924.750000
1476.061312 258937.593750
1476.081745 258961.421875
1476.102178 258967.328125
1476.122611 258994.734375
1476.143044 258974.437500
1476.163477 259009.812500
1476.183910 259019.437500
1476.204342 259028.468750
1476.224775 259038.843750
1476.245208 258994.515625
1476.265641 259010.640625
1476.286074 259028.921875
1476.306507 259019.937500
1476.347372 258996.343750
1476.367805 259042.703125
1476.429104 259023.906250
1476.449536 258981.921875
1476.469969 258977.765625
1476.490402 258964.375000
1476.510835 258998.203125
1476.531268 258993.531250
1476.551701 258995.281250
1476.572133 258982.562500
1476.592566 259006.703125
1476.633432 258951.062500
1476.653865 259023.937500
1476.674298 259093.140625
1476.694730 259073.343750
1476.715163 259054.375000
1476.735596 259028.046875
1476.756029 259016.781250
1476.776462 259018.156250
1476.796895 258995.265625
1476.817327 258921.078125
1476.837760 258934.718750
1476.858193 258896.281250
1476.878626 258915.203125
1476.919492 258909.625000
1476.939924 258880.031250
1476.960357 258902.218750
1476.980790 258878.312500
1477.001223 258873.656250
1477.021656 258907.453125
1477.042089 258867.500000
1477.062522 258887.265625
1477.082954 258824.515625
1477.103387 258859.437500
1477.123820 258870.671875
1477.185119 258857.484375
1477.225984 258944.875000
1477.246417 258932.593750
1477.266850 258986.390625
1477.287283 259020.265625
1477.307716 259007.656250
1488.688844 258843.546875
1488.709277 258850.093750
1488.729710 258831.734375
1488.750143 258823.515625
1488.770576 258826.859375
1488.791009 258834.484375
1488.811442 258869.437500
1488.831875 258863.140625
1488.852308 258847.640625
1488.872741 258824.343750
1488.913606 258849.421875
1488.934040 258787.437500
1488.954473 258840.421875
1488.974906 258822.015625
1489.015771 258842.250000
1489.056637 258902.234375
1489.077070 258918.343750
1489.097503 258910.500000
1489.117936 258908.531250
1489.138369 258934.281250
1489.158802 258884.968750
1489.179235 258926.093750
1489.199668 258932.156250
1489.220101 258911.734375
1489.240534 258915.984375
1489.260967 258971.312500
1489.281400 258909.359375
1489.301833 258958.578125
1489.363132 258930.312500
1489.383565 258924.296875
1489.403998 258944.531250
1489.424431 258935.984375
1489.444864 258990.125000
1489.465297 258941.546875
1489.485730 258898.500000
1489.506163 258910.078125
1489.547029 258885.812500
1489.587895 258834.640625
1489.628761 258842.546875
1489.649194 258831.171875
1489.669627 258848.203125
1489.690060 258829.437500
1489.710493 258834.671875
1489.730926 258823.062500
1489.751359 258794.359375
1489.771792 258825.234375
1489.833091 258857.375000
1489.853524 258841.515625
1489.873957 258819.500000
1489.894390 258852.421875
1489.914823 258857.484375
1489.935256 258850.875000
1489.955689 258886.078125
1489.976122 258843.718750
1489.996555 258823.343750
1490.016988 258850.796875
1490.037421 258861.078125
1490.057854 258859.625000
1490.078287 258828.875000
1490.119153 258871.453125
1490.139586 258918.546875
1490.160019 258869.031250
1490.180452 258830.281250
1490.200885 258840.171875
1490.221318 258838.328125
1490.241751 258841.718750
1490.262184 258823.234375
1490.282617 258828.750000
1490.303050 258927.515625
1490.323483 258809.078125
1490.343916 258768.562500
1490.384782 258811.437500
1490.405215 258789.609375
1490.425648 258768.234375
1490.446081 258741.218750
1490.466514 258729.062500
1490.486947 258719.640625
1490.527813 258704.343750
1490.548246 258704.171875
1490.568679 258686.250000
1490.589113 258673.453125
1490.609545 258677.078125
1490.629979 258699.781250
1490.670845 258733.937500
1490.691278 258718.984375
1490.711711 258713.453125
1490.732144 258681.125000
1490.752577 258736.906250
1490.773010 258710.093750
1490.793443 258712.750000
1490.813876 258725.546875
1490.834309 258783.484375
1490.875175 258751.328125
1490.895608 258770.046875
1490.916041 258766.750000
1490.936474 258768.062500
1490.956907 258736.734375
1490.977340 258703.734375
1490.997773 258730.093750
1491.018206 258697.015625
1491.038639 258722.765625
1491.059072 258675.187500
1491.079505 258766.250000
1491.099938 258726.875000
1491.140804 258715.625000
1491.161237 258730.265625
1491.181670 258712.203125
1491.202103 258684.781250
1491.222536 258633.765625
1491.242969 258654.578125
1491.263402 258650.468750
1491.304268 258596.437500
1491.324701 258642.812500
1491.345134 258609.750000
1491.365567 258583.187500
1491.386000 258533.109375
1491.406433 258583.562500
1491.426866 258552.234375
1491.447299 258561.359375
1491.467732 258510.281250
1491.488165 258518.953125
1491.529031 258545.562500
1491.549464 258546.203125
1491.569897 258527.718750
1491.590330 258565.765625
1491.610763 258552.031250
1491.631196 258553.062500
1491.651629 258536.031250
1491.672062 258540.187500
1491.712929 258553.921875
1491.733362 258529.796875
1491.753795 258564.562500
1491.774228 258573.234375
1491.794661 258565.328125
1491.815094 258586.390625
1491.835527 258604.218750
1491.855960 258595.593750
1491.876393 258599.828125
1491.896826 258589.562500
1491.917259 258560.890625
1491.937692 258597.906250
1491.958125 258619.109375
1491.978558 258567.156250
1491.998991 258601.968750
1492.019424 258555.843750
1492.039857 258577.843750
1492.060290 258536.125000
1492.080723 258545.875000
1492.101156 258508.468750
1492.121589 258527.171875
1492.142022 258525.843750
1492.162455 258523.671875
1492.182888 258515.046875
1492.203321 258478.968750
1492.223754 258523.875000
1492.264620 258466.125000
1492.305486 258429.281250
1492.325919 258333.890625
1492.346352 258378.953125
1492.387219 258412.984375
1492.407651 258339.171875
1492.428085 258328.171875
1492.468951 258305.734375
1492.489384 258323.859375
1492.509817 258341.109375
1492.530250 258367.781250
1492.550683 258383.687500
1492.571116 258340.125000
1492.591549 258301.640625
1492.611982 258332.718750
1492.632415 258340.531250
1492.652848 258284.890625
1492.693714 258371.562500
1492.734580 258322.453125
1492.795879 258341.000000
1492.816312 258334.359375
1492.836745 258346.000000
1492.857178 258356.562500
1492.877611 258389.000000
1492.898045 258342.453125
1492.938911 258235.625000
1492.959344 258281.703125
1493.000210 258324.171875
1493.020643 258251.562500
1493.061509 258335.593750
1493.081942 258282.734375
1493.102375 258285.828125
1493.122808 258266.921875
1493.143241 258258.437500
1493.163674 258282.484375
1493.184107 258218.171875
1493.224973 258235.343750
1493.245406 258273.734375
1493.286272 258274.718750
1493.306706 258185.062500
1493.327139 258247.515625
1493.347572 258203.953125
1493.368005 258208.000000
1493.388438 258212.343750
1493.408871 258211.625000
1493.429304 258211.718750
1493.449737 258275.046875
1493.470170 258237.843750
1493.511036 258229.093750
1493.531469 258267.218750
1493.551902 258249.312500
1493.572335 258244.218750
1493.613201 258258.750000
1493.633634 258323.125000
1493.654067 258268.234375
1493.674500 258310.187500
1493.694933 258254.984375
1493.715366 258269.984375
1493.735799 258295.765625
1493.756233 258250.750000
1493.776666 258288.062500
1493.797099 258240.406250
1493.837965 258271.656250
1493.858398 258279.046875
1493.878831 258269.515625
1493.899264 258267.656250
1493.919697 258296.187500
1493.940130 258249.750000
1493.960563 258282.421875
1493.980996 258280.296875
1494.001429 258267.390625
1494.021862 258258.843750
1494.042295 258245.859375
1494.062728 258211.781250
1494.083162 258288.140625
1494.103595 258259.218750
1494.124028 258222.843750
1494.144461 258260.843750
1494.164894 258226.250000
1494.185327 258242.078125
1494.205760 258241.296875
1494.226193 258228.953125
1494.246626 258244.000000
1494.287492 258281.187500
1494.307925 258255.421875
1494.328358 258270.562500
1494.348791 258265.921875
1494.369224 258255.656250
1494.389657 258269.390625
1494.410090 258285.671875
1494.430524 258287.625000
1494.450957 258309.781250
1494.471390 258327.515625
1494.491823 258367.109375
1494.512256 258600.937500
1494.573555 258438.312500
1494.593988 258444.781250
1494.614421 258393.250000
1494.634854 258384.218750
1494.655287 258392.312500
1494.675720 258461.796875
1494.696154 258438.078125
1494.737020 258440.906250
1494.757453 258447.687500
1494.777886 258438.687500
1494.818752 258444.890625
1494.839185 258487.515625
1494.859618 258441.140625
1494.880051 258485.296875
1494.900484 258438.281250
1494.920917 258466.203125
1494.941350 258458.890625
1494.961783 258485.765625
1494.982216 258437.296875
1495.002649 258435.687500
1495.023082 258465.640625
1495.043516 258496.234375
1495.063949 258428.265625
1495.084382 258402.656250
1495.104815 258424.640625
1495.125248 258380.609375
1495.145681 258379.796875
1495.166114 258347.171875
1495.186547 258367.796875
1495.206980 258345.734375
1495.227413 258338.125000
1495.247846 258329.078125
1495.268280 258283.312500
1495.288712 258263.421875
1495.329579 258323.187500
1495.350012 258318.156250
1495.370445 258297.781250
1495.390878 258344.375000
1495.411311 258334.437500
1495.431744 258277.140625
1495.452177 258317.656250
1495.472610 258284.031250
1495.493043 258257.562500
1495.513476 258256.265625
1495.533909 258180.031250
1495.554343 258203.687500
1495.574776 258143.515625
1495.595209 258097.156250
1495.615642 258002.500000
1495.636075 258010.984375
1495.656508 258024.250000
1495.676941 257924.890625
1495.697374 257871.625000
1495.717807 257824.218750
1495.738240 257820.000000
1495.779106 257706.937500
1495.799539 257690.125000
1495.819973 257622.828125
1495.840406 257639.234375
1495.860839 257615.265625
1495.881272 257598.828125
1495.901705 257530.125000
1495.922138 257566.218750
1495.963004 257569.578125
1495.983437 257598.375000
1496.003870 257642.734375
1496.024304 257686.718750
1496.044737 257659.421875
1496.065170 257656.343750
1496.085603 257683.093750
1496.106036 257766.062500
1496.126469 257733.703125
1496.146902 257794.343750
1496.167335 257770.000000
1496.187768 257879.187500
1496.208201 257900.265625
1496.228634 257892.062500
1496.249067 257956.515625
1496.269501 257982.093750
1496.310367 258054.734375
1496.330800 258057.218750
1496.351233 258059.187500
1496.371666 258098.796875
1496.392099 258138.875000
1496.412532 258157.500000
1496.432965 258135.765625
1496.453398 258212.578125
1496.473832 258197.343750
1496.494265 258211.484375
1496.514698 258272.125000
1496.535131 258259.625000
1496.555564 258283.203125
1496.575997 258299.937500
1496.596430 258372.343750
1496.616863 258335.796875
1496.637296 258398.218750
1496.657729 258415.843750
1496.678162 258453.484375
1496.698596 258416.453125
1496.719029 258449.218750
1496.739462 258476.890625
1496.759895 258466.593750
1496.800761 258507.406250
1496.821194 258523.921875
1496.841627 258556.187500
1496.862060 258573.703125
1496.882493 258571.859375
1496.902926 258598.062500
1496.923360 258570.531250
1496.943793 258571.562500
1496.964226 258611.375000
1496.984659 258582.703125
1497.005092 258579.062500
1497.025525 258505.218750
1497.045958 258539.343750
1497.086825 258535.968750
1497.107258 258560.531250
1497.127691 258561.078125
1497.148124 258586.781250
1497.168557 258650.250000
1497.188990 258600.312500
1497.209423 258562.812500
1497.229856 258671.468750
1497.250289 258625.312500
1497.270722 258696.062500
1497.291155 258639.625000
1497.311589 258618.875000
1497.352455 258636.437500
1497.372888 258666.125000
1497.393321 258641.750000
1497.413754 258676.843750
1497.434187 258637.046875
1497.475053 258703.031250
1497.495487 258730.718750
1497.536353 258729.062500
1497.556786 258765.750000
1497.597652 258686.000000
1497.638518 258685.359375
1497.658952 258730.109375
1497.679385 258754.406250
1497.699818 258719.828125
1497.720251 258702.656250
1497.740684 258730.375000
1497.761117 258749.703125
1497.781550 258711.843750
1497.801983 258691.546875
1497.822416 258733.718750
1497.842849 258667.515625
1497.863283 258650.218750
1497.883716 258633.656250
1497.924582 258655.218750
1497.945015 258601.031250
1497.965448 258645.984375
1497.985881 258647.046875
1498.006314 258643.406250
1498.026748 258636.500000
1498.108480 258702.031250
1498.128913 258663.390625
1498.149346 258703.484375
1498.169779 258735.640625
1498.190212 258713.781250
1498.210646 258714.046875
1498.231079 258721.296875
1498.251512 258710.828125
1498.271945 258715.750000
1498.292378 258697.828125
1498.312811 258726.734375
1498.374111 258758.062500
1498.394544 258799.109375
1498.414977 258679.171875
1498.435410 258727.671875
1498.455843 258763.765625
1498.476276 258725.171875
1498.496709 258714.000000
1498.517143 258727.890625
1498.537576 258674.484375
1498.578442 258766.421875
1498.598875 258771.109375
1498.701041 258816.015625
1498.741907 258762.781250
1498.782773 258733.125000
1498.803206 258696.281250
1498.823639 258641.859375
1498.844072 258662.937500
1498.884939 258609.843750
1498.905372 258626.765625
1498.925805 258704.875000
1498.946238 258654.390625
1498.987104 258717.984375
1499.007537 258734.406250
1499.027971 258780.421875
1499.048404 258713.593750
1499.068837 258719.343750
1499.089270 258712.812500
1499.109703 258716.062500
1499.150569 258736.125000
1499.171003 258739.218750
1499.191436 258728.312500
1499.211869 258728.421875
1499.232302 258728.453125
1499.252735 258781.968750
1499.273168 258748.390625
1499.314035 258688.703125
1499.334468 258756.625000
1499.354901 258769.734375
1499.375334 258748.140625
1499.395767 258708.296875
1499.416200 258749.843750
1499.436633 258761.890625
1499.457067 258747.046875
1499.477500 258775.234375
1499.497933 258703.140625
1499.518366 258731.703125
1499.559232 258744.875000
1499.579665 258711.781250
1499.600098 258693.140625
1499.620532 258732.859375
1499.640965 258706.484375
1499.661398 258706.000000
1499.681831 258642.703125
1499.702264 258657.703125
1499.722697 258670.250000
1499.743131 258640.218750
1499.763564 258682.031250
1499.783997 258622.937500
1499.804430 258625.812500
1499.824863 258651.437500
1499.845296 258681.156250
1499.865729 258631.625000
1499.886162 258606.343750
1499.906596 258644.828125
1499.927029 258639.125000
1499.947462 258630.468750
1499.967895 258620.265625
1499.988328 258674.968750
1500.008761 258676.968750
1500.029194 258657.500000
1500.049628 258683.453125
1500.070061 258692.687500
1500.090494 258695.000000
1500.110927 258713.078125
1500.131360 258722.406250
1500.151793 258705.812500
1500.172226 258731.093750
1500.192660 258737.531250
1500.213093 258680.453125
1500.233526 258678.609375
1500.253959 258649.750000
1500.274392 258674.015625
1500.294825 258713.265625
1500.315259 258687.375000
1500.335692 258722.781250
1500.356125 258691.359375
1500.376558 258729.359375
1500.396991 258748.968750
1500.417424 258748.906250
1500.437857 258774.875000
1500.478724 258685.703125
1500.499157 258702.531250
1500.519590 258719.265625
1500.540023 258684.859375
1500.560456 258666.171875
1500.580890 258624.328125
1500.601323 258667.593750
1500.621756 258685.031250
1500.642189 258679.703125
1500.662622 258698.859375
1500.683055 258697.859375
1500.703489 258676.203125
1500.723922 258673.906250
1500.744355 258678.890625
1500.764788 258670.531250
1500.805654 258707.656250
1500.826087 258699.656250
1500.846521 258678.500000
1500.866954 258682.156250
1500.887387 258663.453125
1500.907820 258681.593750
1500.928253 258707.906250
1500.948686 258733.187500
1500.969120 258733.968750
1500.989553 258695.296875
1501.009986 258737.187500
1501.050852 258779.953125
1501.091719 258705.031250
1501.112152 258691.656250
1501.132585 258713.359375
1501.153018 258697.234375
1501.173451 258677.218750
1501.193884 258687.828125
1501.214318 258718.375000
1501.234751 258719.156250
1501.255184 258718.328125
1501.275617 258693.000000
1501.296050 258702.859375
1501.316483 258748.343750
1501.336916 258722.828125
1501.357350 258702.531250
1501.377783 258697.578125
1501.398216 258696.015625
1501.418649 258706.437500
1501.439082 258704.062500
1501.459516 258678.093750
1501.479949 258723.828125
1501.500382 258724.281250
1501.520815 258694.375000
1501.541248 258687.234375
1501.561681 258658.468750
1501.622981 258623.515625
1501.643414 258649.765625
1501.663847 258601.281250
1501.725147 258603.843750
1501.745580 258596.500000
1501.786446 258581.656250
1501.806879 258597.500000
1501.827313 258636.796875
1501.847746 258621.609375
1501.868179 258556.531250
1501.888612 258615.953125
1501.909045 258591.468750
1501.929479 258532.937500
1501.949912 258562.593750
1501.970345 258538.765625
1501.990778 258553.984375
1502.011211 258625.375000
1502.031644 258601.734375
1502.052078 258607.265625
1502.092944 258653.359375
1502.113377 258655.000000
1502.133810 258650.296875
1502.154243 258621.406250
1502.195110 258625.562500
1502.215543 258671.500000
1502.235976 258678.406250
1502.256409 258617.156250
1502.276842 258634.640625
1502.297276 258678.828125
1502.317709 258717.375000
1502.338142 258618.234375
1502.358575 258636.906250
1502.379008 258647.031250
1502.399442 258673.250000
1502.419875 258708.546875
1502.440308 258658.250000
1502.460741 258681.781250
1502.501608 258671.734375
1502.522041 258637.781250
1502.542474 258635.609375
1502.562907 258645.140625
1502.583340 258581.828125
1502.603773 258609.218750
1502.624207 258553.687500
1502.644640 258611.234375
1502.665073 258621.015625
1502.685506 258628.750000
1502.705939 258675.328125
1502.726373 258669.890625
1502.746806 258691.250000
1502.767239 258679.375000
1502.787672 258684.750000
1502.808105 258684.265625
1502.828539 258667.703125
1502.848972 258698.937500
1502.869405 258694.796875
1502.930704 258746.156250
1502.951138 258789.531250
1502.971571 258752.312500
1502.992004 258778.656250
1503.012437 258725.140625
1503.032870 258718.156250
1503.053304 258745.484375
1503.073737 258774.906250
1503.094170 258755.078125
1503.114603 258714.312500
1503.135037 258719.453125
1503.155470 258680.265625
1503.175903 258700.500000
1503.196336 258685.140625
1503.216769 258678.062500
1503.237202 258697.625000
1503.257636 258683.609375
1503.278069 258687.250000
1503.298502 258665.906250
1503.318935 258680.890625
1503.339368 258685.406250
1503.359802 258646.328125
1503.380235 258643.015625
1503.400668 258634.468750
1503.421101 258630.562500
1503.441534 258598.671875
1503.461968 258622.546875
1503.482401 258617.843750
1503.502834 258616.906250
1503.523267 258536.843750
1503.543700 258560.875000
1503.564134 258575.453125
1503.584567 258564.468750
1503.605000 258559.171875
1503.625433 258609.625000
1503.645866 258642.562500
1503.666300 258636.343750
1503.727599 258617.203125
1503.748032 258628.484375
1503.768466 258574.484375
1503.788899 258604.359375
1503.809332 258647.453125
1503.829765 258642.734375
1503.850198 258671.000000
1503.870632 258597.218750
1503.891065 258653.984375
1503.911498 258666.953125
1503.931931 258655.796875
1503.952365 258663.687500
1503.972798 258696.500000
1503.993231 258660.390625
1504.013664 258694.031250
1504.034097 258634.281250
1504.054531 258642.250000
1504.074964 258588.671875
1504.095397 258608.468750
1504.115830 258581.015625
1504.136263 258596.578125
1504.156697 258620.156250
1504.177130 258594.781250
1504.197563 258600.062500
1504.217996 258595.718750
1504.258863 258586.718750
1504.279296 258587.781250
1504.299729 258583.375000
1504.320162 258555.187500
1504.340596 258564.500000
1504.361029 258591.828125
1504.381462 258621.828125
1504.401895 258546.984375
1504.422328 258576.750000
1504.442762 258605.593750
1504.463195 258572.718750
1504.504061 258520.546875
1504.524494 258476.765625
1504.544928 258559.921875
1504.565361 258529.000000
1504.585794 258497.718750
1504.606227 258539.843750
1504.626661 258541.562500
1504.647094 258551.390625
1504.667527 258556.343750
1504.708393 258486.515625
1504.728827 258508.812500
1504.749260 258511.000000
1504.769693 258566.734375
1504.790126 258519.796875
1504.810559 258538.515625
1504.830993 258521.281250
1504.851426 258546.250000
1504.871859 258515.609375
1504.892292 258487.875000
1504.912726 258495.890625
1504.933159 258467.812500
1504.953592 258444.406250
1504.974025 258491.812500
1504.994458 258429.515625
1505.014892 258461.187500
1505.035325 258440.531250
1505.055758 258480.171875
1505.076191 258478.109375
1505.096625 258425.453125
1505.117058 258417.546875
1505.137491 258450.843750
1505.157924 258450.078125
1505.178358 258381.546875
1505.198791 258418.359375
1505.219224 258375.531250
1505.239657 258388.890625
1505.260090 258378.953125
1505.300957 258391.328125
1505.321390 258363.859375
1505.341823 258400.796875
1505.362257 258383.468750
1505.382690 258366.421875
1505.403123 258258.031250
1505.423556 258285.562500
1505.443990 258253.078125
1505.464423 258256.062500
1505.484856 258331.109375
1505.505289 258307.859375
1505.525722 258303.609375
1505.546156 258344.156250
1505.607455 258292.312500
1505.627889 258295.250000
1505.648322 258312.062500
1505.668755 258308.500000
1505.689188 258298.156250
1505.709622 258270.671875
1505.730055 258274.390625
1505.750488 258292.312500
1505.770921 258302.140625
1505.791354 258282.875000
1505.811788 258289.546875
1505.852654 258288.015625
1505.873087 258246.484375
1505.893521 258252.890625
1505.913954 258248.750000
1505.954820 258242.015625
1505.975254 258232.875000
1505.995687 258252.453125
1506.016120 258204.000000
1506.036553 258245.031250
1506.056987 258143.625000
1506.077420 258148.578125
1506.097853 258177.500000
1506.118286 258159.578125
1506.138720 258120.328125
1506.159153 258155.140625
1506.179586 258116.390625
1506.200019 258134.578125
1506.220453 258124.000000
1506.240886 258137.250000
1506.261319 258107.265625
1506.281752 258090.437500
1506.302186 258045.515625
1506.322619 258095.359375
1506.343052 258022.000000
1506.363485 258044.500000
1506.383918 257999.171875
1506.404352 257988.609375
1506.424785 257961.140625
1506.445218 258022.812500
1506.465651 258056.515625
1506.486085 258029.437500
1506.506518 258009.906250
1506.526951 258058.656250
1506.547385 258073.031250
1506.567818 258018.421875
1506.649551 258101.078125
